time	V(N001)	V(N002)	V(N003)	I(V1)	
0.00023	-2.408768371	-1.313873657	-0.4379578855	0.1094894714	
0.000231	-2.297899303	-1.25339962	-0.4177998733	0.1044499683	
0.000232	-2.185578833	-1.192133909	-0.3973779697	0.09934449242	
0.000233	-2.071877905	-1.130115221	-0.3767050736	0.09417626841	
0.000234	-1.956868334	-1.067382728	-0.3557942426	0.08894856064	
0.000235	-1.840622763	-1.003976053	-0.3346586843	0.08366467106	
0.000236	-1.723214616	-0.939935245	-0.3133117483	0.07832793709	
0.000237	-1.604718049	-0.875300754	-0.291766918	0.0729417295	
0.000238	-1.485207908	-0.8101134043	-0.2700378014	0.06750945036	
0.000239	-1.364759678	-0.7444143696	-0.2481381232	0.0620345308	
0.00024	-1.243449436	-0.6782451468	-0.2260817156	0.0565204289	
0.000241	-1.121353805	-0.6116475299	-0.20388251	0.05097062749	
0.000242	-0.9985499026	-0.5446635832	-0.1815545277	0.04538863194	
0.000243	-0.8751152949	-0.4773356154	-0.1591118718	0.03977796795	
0.000244	-0.7511279456	-0.4097061521	-0.1365687174	0.03414217935	
0.000245	-0.6266661678	-0.3418179097	-0.1139393032	0.02848482581	
0.000246	-0.5018085743	-0.2737137678	-0.09123792259	0.02280948065	
0.000247	-0.3766340276	-0.2054367423	-0.06847891412	0.01711972853	
0.000248	-0.2512215909	-0.1370299587	-0.04567665289	0.01141916322	
0.000249	-0.1256504772	-0.06853662394	-0.02284554131	0.005711385328	
0.00025	-5.895624408e-14	-3.215795132e-14	-1.071931711e-14	2.679829276e-15	
0.000251	0.1256504772	0.06853662394	0.02284554131	-0.005711385328	
0.000252	0.2512215909	0.1370299587	0.04567665289	-0.01141916322	
0.000253	0.3766340276	0.2054367423	0.06847891412	-0.01711972853	
0.000254	0.5018085743	0.2737137678	0.09123792259	-0.02280948065	
0.000255	0.6266661678	0.3418179097	0.1139393032	-0.02848482581	
0.000256	0.7511279456	0.4097061521	0.1365687174	-0.03414217935	
0.000257	0.8751152949	0.4773356154	0.1591118718	-0.03977796795	
0.000258	0.9985499026	0.5446635832	0.1815545277	-0.04538863194	
0.000259	1.121353805	0.6116475299	0.20388251	-0.05097062749	
0.00026	1.243449436	0.6782451468	0.2260817156	-0.0565204289	
0.000261	1.364759678	0.7444143696	0.2481381232	-0.0620345308	
0.000262	1.485207908	0.8101134043	0.2700378014	-0.06750945036	
0.000263	1.604718049	0.875300754	0.291766918	-0.0729417295	
0.000264	1.723214616	0.939935245	0.3133117483	-0.07832793709	
0.000265	1.840622763	1.003976053	0.3346586843	-0.08366467106	
0.000266	1.956868334	1.067382728	0.3557942426	-0.08894856064	
0.000267	2.071877905	1.130115221	0.3767050736	-0.09417626841	
0.000268	2.185578833	1.192133909	0.3973779697	-0.09934449242	
0.000269	2.297899303	1.25339962	0.4177998733	-0.1044499683	
0.00027	2.408768371	1.313873657	0.4379578855	-0.1094894714	
0.000271	2.518116008	1.373517823	0.4578392742	-0.1144598186	
0.000272	2.62587315	1.432294445	0.4774314818	-0.1193578704	
0.000273	2.731971734	1.4901664	0.4967221334	-0.1241805333	
0.000274	2.836344746	1.547097134	0.5156990447	-0.1289247612	
0.000275	2.938926261	1.603050688	0.5343502294	-0.1335875573	
0.000276	3.039651488	1.657991721	0.552663907	-0.1381659767	
0.000277	3.138456806	1.711885531	0.5706285103	-0.1426571276	
0.000278	3.235279808	1.764698077	0.5882326923	-0.1470581731	
0.000279	3.330059337	1.816396002	0.605465334	-0.1513663335	
0.00028	3.42273553	1.866946653	0.6223155508	-0.1555788877	
0.000281	3.513249849	1.916318099	0.6387726998	-0.159693175	
0.000282	3.601545124	1.964479159	0.6548263863	-0.1637065966	
0.000283	3.687565587	2.011399411	0.6704664703	-0.1676166176	
0.000284	3.771256904	2.05704922	0.6856830734	-0.1714207683	
0.000285	3.852566214	2.101399753	0.7004665843	-0.1751166461	
0.000286	3.931442161	2.144422997	0.7148076656	-0.1787019164	
0.000287	4.007834924	2.186091777	0.728697259	-0.1821743147	
0.000288	4.081696254	2.226379775	0.7421265916	-0.1855316479	
0.000289	4.152979496	2.265261543	0.7550871811	-0.1887717953	
0.00029	4.221639628	2.302712524	0.7675708414	-0.1918927103	
0.000291	4.287633281	2.338709062	0.7795696874	-0.1948924219	
0.000292	4.350918773	2.373228422	0.7910761406	-0.1977690352	
0.000293	4.411456132	2.406248799	0.8020829331	-0.2005207333	
0.000294	4.469207121	2.437749339	0.8125831129	-0.2031457782	
0.000295	4.524135262	2.467710143	0.8225700477	-0.2056425119	
0.000296	4.576205863	2.496112289	0.8320374297	-0.2080093574	
0.000297	4.625386034	2.522937837	0.8409792789	-0.2102448197	
0.000298	4.671644712	2.548169843	0.8493899477	-0.2123474869	
0.000299	4.714952679	2.571792371	0.8572641235	-0.2143160309	
0.0003	4.755282581	2.593790499	0.864596833	-0.2161492082	
0.000301	4.792608945	2.614150334	0.8713834446	-0.2178458611	
0.000302	4.826908194	2.632859015	0.8776196717	-0.2194049179	
0.000303	4.858158665	2.649904726	0.8833015754	-0.2208253938	
0.000304	4.886340618	2.665276701	0.8884255669	-0.2221063917	
0.000305	4.911436254	2.678965229	0.8929884098	-0.2232471024	
0.000306	4.933429721	2.690961666	0.896987222	-0.2242468055	
0.000307	4.952307128	2.701258434	0.9004194779	-0.2251048695	
0.000308	4.968056553	2.709849029	0.9032830096	-0.2258207524	
0.000309	4.980668046	2.716728025	0.9055760083	-0.2263940021	
0.00031	4.990133642	2.721891078	0.9072970258	-0.2268242565	
0.000311	4.996447363	2.725334925	0.9084449751	-0.2271112438	
0.000312	4.999605221	2.727057393	0.9090191311	-0.2272547828	
0.000313	4.999605221	2.727057393	0.9090191311	-0.2272547828	
0.000314	4.996447363	2.725334925	0.9084449751	-0.2271112438	
0.000315	4.990133642	2.721891078	0.9072970258	-0.2268242565	
0.000316	4.980668046	2.716728025	0.9055760083	-0.2263940021	
0.000317	4.968056553	2.709849029	0.9032830096	-0.2258207524	
0.000318	4.952307128	2.701258434	0.9004194779	-0.2251048695	
0.000319	4.933429721	2.690961666	0.896987222	-0.2242468055	
0.00032	4.911436254	2.678965229	0.8929884098	-0.2232471024	
0.000321	4.886340618	2.665276701	0.8884255669	-0.2221063917	
0.000322	4.858158665	2.649904726	0.8833015754	-0.2208253938	
0.000323	4.826908194	2.632859015	0.8776196717	-0.2194049179	
0.000324	4.792608945	2.614150334	0.8713834446	-0.2178458611	
0.000325	4.755282581	2.593790499	0.864596833	-0.2161492082	
0.000326	4.714952679	2.571792371	0.8572641235	-0.2143160309	
0.000327	4.671644712	2.548169843	0.8493899477	-0.2123474869	
0.000328	4.625386034	2.522937837	0.8409792789	-0.2102448197	
0.000329	4.576205863	2.496112289	0.8320374297	-0.2080093574	
0.00033	4.524135262	2.467710143	0.8225700477	-0.2056425119	
0.000331	4.469207121	2.437749339	0.8125831129	-0.2031457782	
0.000332	4.411456132	2.406248799	0.8020829331	-0.2005207333	
0.000333	4.350918773	2.373228422	0.7910761406	-0.1977690352	
0.000334	4.287633281	2.338709062	0.7795696874	-0.1948924219	
0.000335	4.221639628	2.302712524	0.7675708414	-0.1918927103	
0.000336	4.152979496	2.265261543	0.7550871811	-0.1887717953	
0.000337	4.081696254	2.226379775	0.7421265916	-0.1855316479	
0.000338	4.007834924	2.186091777	0.728697259	-0.1821743147	
0.000339	3.931442161	2.144422997	0.7148076656	-0.1787019164	
0.00034	3.852566214	2.101399753	0.7004665843	-0.1751166461	
0.000341	3.771256904	2.05704922	0.6856830734	-0.1714207683	
0.000342	3.687565587	2.011399411	0.6704664703	-0.1676166176	
0.000343	3.601545124	1.964479159	0.6548263863	-0.1637065966	
0.000344	3.513249849	1.916318099	0.6387726998	-0.159693175	
0.000345	3.42273553	1.866946653	0.6223155508	-0.1555788877	
0.000346	3.330059337	1.816396002	0.605465334	-0.1513663335	
0.000347	3.235279808	1.764698077	0.5882326923	-0.1470581731	
0.000348	3.138456806	1.711885531	0.5706285103	-0.1426571276	
0.000349	3.039651488	1.657991721	0.552663907	-0.1381659767	
0.00035	2.938926261	1.603050688	0.5343502294	-0.1335875573	
0.000351	2.836344746	1.547097134	0.5156990447	-0.1289247612	
0.000352	2.731971734	1.4901664	0.4967221334	-0.1241805333	
0.000353	2.62587315	1.432294445	0.4774314818	-0.1193578704	
0.000354	2.518116008	1.373517823	0.4578392742	-0.1144598186	
0.000355	2.408768371	1.313873657	0.4379578855	-0.1094894714	
0.000356	2.297899303	1.25339962	0.4177998733	-0.1044499683	
0.000357	2.185578833	1.192133909	0.3973779697	-0.09934449242	
0.000358	2.071877905	1.130115221	0.3767050736	-0.09417626841	
0.000359	1.956868334	1.067382728	0.3557942426	-0.08894856064	
0.00036	1.840622763	1.003976053	0.3346586843	-0.08366467106	
0.000361	1.723214616	0.939935245	0.3133117483	-0.07832793709	
0.000362	1.604718049	0.875300754	0.291766918	-0.0729417295	
0.000363	1.485207908	0.8101134043	0.2700378014	-0.06750945036	
0.000364	1.364759678	0.7444143696	0.2481381232	-0.0620345308	
0.000365	1.243449436	0.6782451468	0.2260817156	-0.0565204289	
0.000366	1.121353805	0.6116475299	0.20388251	-0.05097062749	
0.000367	0.9985499026	0.5446635832	0.1815545277	-0.04538863194	
0.000368	0.8751152949	0.4773356154	0.1591118718	-0.03977796795	
0.000369	0.7511279456	0.4097061521	0.1365687174	-0.03414217935	
0.00037	0.6266661678	0.3418179097	0.1139393032	-0.02848482581	
0.000371	0.5018085743	0.2737137678	0.09123792259	-0.02280948065	
0.000372	0.3766340276	0.2054367423	0.06847891412	-0.01711972853	
0.000373	0.2512215909	0.1370299587	0.04567665289	-0.01141916322	
0.000374	0.1256504772	0.06853662394	0.02284554131	-0.005711385328	
0.000375	-3.267890451e-13	-1.7824857e-13	-5.941619002e-14	1.48540475e-14	
0.000376	-0.1256504772	-0.06853662394	-0.02284554131	0.005711385328	
0.000377	-0.2512215909	-0.1370299587	-0.04567665289	0.01141916322	
0.000378	-0.3766340276	-0.2054367423	-0.06847891412	0.01711972853	
0.000379	-0.5018085743	-0.2737137678	-0.09123792259	0.02280948065	
0.00038	-0.6266661678	-0.3418179097	-0.1139393032	0.02848482581	
0.000381	-0.7511279456	-0.4097061521	-0.1365687174	0.03414217935	
0.000382	-0.8751152949	-0.4773356154	-0.1591118718	0.03977796795	
0.000383	-0.9985499026	-0.5446635832	-0.1815545277	0.04538863194	
0.000384	-1.121353805	-0.6116475299	-0.20388251	0.05097062749	
0.000385	-1.243449436	-0.6782451468	-0.2260817156	0.0565204289	
0.000386	-1.364759678	-0.7444143696	-0.2481381232	0.0620345308	
0.000387	-1.485207908	-0.8101134043	-0.2700378014	0.06750945036	
0.000388	-1.604718049	-0.875300754	-0.291766918	0.0729417295	
0.000389	-1.723214616	-0.939935245	-0.3133117483	0.07832793709	
0.00039	-1.840622763	-1.003976053	-0.3346586843	0.08366467106	
0.000391	-1.956868334	-1.067382728	-0.3557942426	0.08894856064	
0.000392	-2.071877905	-1.130115221	-0.3767050736	0.09417626841	
0.000393	-2.185578833	-1.192133909	-0.3973779697	0.09934449242	
0.000394	-2.297899303	-1.25339962	-0.4177998733	0.1044499683	
0.000395	-2.408768371	-1.313873657	-0.4379578855	0.1094894714	
0.000396	-2.518116008	-1.373517823	-0.4578392742	0.1144598186	
0.000397	-2.62587315	-1.432294445	-0.4774314818	0.1193578704	
0.000398	-2.731971734	-1.4901664	-0.4967221334	0.1241805333	
0.000399	-2.836344746	-1.547097134	-0.5156990447	0.1289247612	
0.0004	-2.938926261	-1.603050688	-0.5343502294	0.1335875573	
0.000401	-3.039651488	-1.657991721	-0.552663907	0.1381659767	
0.000402	-3.138456806	-1.711885531	-0.5706285103	0.1426571276	
0.000403	-3.235279808	-1.764698077	-0.5882326923	0.1470581731	
0.000404	-3.330059337	-1.816396002	-0.605465334	0.1513663335	
0.000405	-3.42273553	-1.866946653	-0.6223155508	0.1555788877	
0.000406	-3.513249849	-1.916318099	-0.6387726998	0.159693175	
0.000407	-3.601545124	-1.964479159	-0.6548263863	0.1637065966	
0.000408	-3.687565587	-2.011399411	-0.6704664703	0.1676166176	
0.000409	-3.771256904	-2.05704922	-0.6856830734	0.1714207683	
0.00041	-3.852566214	-2.101399753	-0.7004665843	0.1751166461	
0.000411	-3.931442161	-2.144422997	-0.7148076656	0.1787019164	
0.000412	-4.007834924	-2.186091777	-0.728697259	0.1821743147	
0.000413	-4.081696254	-2.226379775	-0.7421265916	0.1855316479	
0.000414	-4.152979496	-2.265261543	-0.7550871811	0.1887717953	
0.000415	-4.221639628	-2.302712524	-0.7675708414	0.1918927103	
0.000416	-4.287633281	-2.338709062	-0.7795696874	0.1948924219	
0.000417	-4.350918773	-2.373228422	-0.7910761406	0.1977690352	
0.000418	-4.411456132	-2.406248799	-0.8020829331	0.2005207333	
0.000419	-4.469207121	-2.437749339	-0.8125831129	0.2031457782	
0.00042	-4.524135262	-2.467710143	-0.8225700477	0.2056425119	
0.000421	-4.576205863	-2.496112289	-0.8320374297	0.2080093574	
0.000422	-4.625386034	-2.522937837	-0.8409792789	0.2102448197	
0.000423	-4.671644712	-2.548169843	-0.8493899477	0.2123474869	
0.000424	-4.714952679	-2.571792371	-0.8572641235	0.2143160309	
0.000425	-4.755282581	-2.593790499	-0.864596833	0.2161492082	
0.000426	-4.792608945	-2.614150334	-0.8713834446	0.2178458611	
0.000427	-4.826908194	-2.632859015	-0.8776196717	0.2194049179	
0.000428	-4.858158665	-2.649904726	-0.8833015754	0.2208253938	
0.000429	-4.886340618	-2.665276701	-0.8884255669	0.2221063917	
0.00043	-4.911436254	-2.678965229	-0.8929884098	0.2232471024	
0.000431	-4.933429721	-2.690961666	-0.896987222	0.2242468055	
0.000432	-4.952307128	-2.701258434	-0.9004194779	0.2251048695	
0.000433	-4.968056553	-2.709849029	-0.9032830096	0.2258207524	
0.000434	-4.980668046	-2.716728025	-0.9055760083	0.2263940021	
0.000435	-4.990133642	-2.721891078	-0.9072970258	0.2268242565	
0.000436	-4.996447363	-2.725334925	-0.9084449751	0.2271112438	
0.000437	-4.999605221	-2.727057393	-0.9090191311	0.2272547828	
0.000438	-4.999605221	-2.727057393	-0.9090191311	0.2272547828	
0.000439	-4.996447363	-2.725334925	-0.9084449751	0.2271112438	
0.00044	-4.990133642	-2.721891078	-0.9072970258	0.2268242565	
0.000441	-4.980668046	-2.716728025	-0.9055760083	0.2263940021	
0.000442	-4.968056553	-2.709849029	-0.9032830096	0.2258207524	
0.000443	-4.952307128	-2.701258434	-0.9004194779	0.2251048695	
0.000444	-4.933429721	-2.690961666	-0.896987222	0.2242468055	
0.000445	-4.911436254	-2.678965229	-0.8929884098	0.2232471024	
0.000446	-4.886340618	-2.665276701	-0.8884255669	0.2221063917	
0.000447	-4.858158665	-2.649904726	-0.8833015754	0.2208253938	
0.000448	-4.826908194	-2.632859015	-0.8776196717	0.2194049179	
0.000449	-4.792608945	-2.614150334	-0.8713834446	0.2178458611	
0.00045	-4.755282581	-2.593790499	-0.864596833	0.2161492082	
0.000451	-4.714952679	-2.571792371	-0.8572641235	0.2143160309	
0.000452	-4.671644712	-2.548169843	-0.8493899477	0.2123474869	
0.000453	-4.625386034	-2.522937837	-0.8409792789	0.2102448197	
0.000454	-4.576205863	-2.496112289	-0.8320374297	0.2080093574	
0.000455	-4.524135262	-2.467710143	-0.8225700477	0.2056425119	
0.000456	-4.469207121	-2.437749339	-0.8125831129	0.2031457782	
0.000457	-4.411456132	-2.406248799	-0.8020829331	0.2005207333	
0.000458	-4.350918773	-2.373228422	-0.7910761406	0.1977690352	
0.000459	-4.287633281	-2.338709062	-0.7795696874	0.1948924219	
0.00046	-4.221639628	-2.302712524	-0.7675708414	0.1918927103	
0.000461	-4.152979496	-2.265261543	-0.7550871811	0.1887717953	
0.000462	-4.081696254	-2.226379775	-0.7421265916	0.1855316479	
0.000463	-4.007834924	-2.186091777	-0.728697259	0.1821743147	
0.000464	-3.931442161	-2.144422997	-0.7148076656	0.1787019164	
0.000465	-3.852566214	-2.101399753	-0.7004665843	0.1751166461	
